"ID";"SIREN";"Organisation_name";"Type_of_org";"zip_code";"City";"Department_code";"Department_name";"Region";"categorie_entreprise";"etablissements";"creation_date";"juridical_nature";"is_sse";"is_mission_driven"
107;508289352;"ASSOCIATION DE DETECTION ET DE PREVENTION DE LA SANTE PAR LE SPORT";"Associations";13004;"MARSEILLE 4";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2008-03-14";"9220";"TRUE";"FALSE"
108;518521844;"ASSOCIATION SPORTIVE ET D'EDUCATION POPULAIRE DE L'ECOLE PUBLIQUE MOISE LEVY";"Associations";70100;"GRAY";"70";"HAUTE SAONE";"BOURGOGNE FRANCHE COMTE";NA;"1";"1986-11-17";"9220";"TRUE";"FALSE"
109;523647576;"COMPAGNIE MAGUY MARIN";"Associations";69007;"LYON 7EME";"69";"RHONE";"AUVERGNE RHONE ALPES";"PME";"2";"2010-07-05";"9220";"TRUE";"FALSE"
110;751111576;"BLACKBALL BILLARD CLUB BESAYES 26 (BBCB26)";"Associations";26300;"BESAYES";"26";"DROME";"AUVERGNE RHONE ALPES";NA;"1";"2012-03-26";"9220";"TRUE";"FALSE"
111;779490887;"RALLYE DU DRAC";"Associations";38800;"CHAMPAGNIER";"38";"ISERE";"AUVERGNE RHONE ALPES";NA;"1";"1900-01-01";"9220";"TRUE";"FALSE"
112;798903720;"HEURE DU CONTE";"Associations";63380;"PONTAUMUR";"63";"PUY DE DOME";"AUVERGNE RHONE ALPES";NA;"1";"2006-02-10";"9220";"TRUE";"FALSE"
113;38926309;"LACROIX GEORGES CLOS PIERRETTE";"Associations";83200;"TOULON";"83";"VAR";"PROVENCE ALPES COTE D AZUR";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found"
114;341444107;"ANANDA YOGA";"Associations";69600;"OULLINS";"69";"RHONE";"AUVERGNE RHONE ALPES";"PME";"1";"1986-09-30";"9220";"TRUE";"FALSE"
115;379791064;"REGIE DES QUARTIERS DE BELFORT";"Associations";90000;"BELFORT";"90";"TERRITOIRE DE BELFORT";"BOURGOGNE FRANCHE COMTE";"PME";"1";"1990-08-27";"9220";"TRUE";"FALSE"
116;397502741;"ASS LA TERRE N'EST QU'UN SEUL PAYS";"Associations";83400;"HYERES";"83";"VAR";"PROVENCE ALPES COTE D AZUR";NA;"2";"1992-05-01";"9220";"TRUE";"FALSE"
117;407701705;"CROC OREILLE";"Associations";38100;"GRENOBLE";"38";"ISERE";"AUVERGNE RHONE ALPES";NA;"1";"1996-01-17";"9220";"TRUE";"FALSE"
